HT_Elev,Elevation,PoE,Axial
15,3.7,0.9,-51.1
20,-0.7,-3.5,-58.0
25,-4.8,-5.3,-59.6
30,-8.6,-7.3,-62.7
35,-12.0,-9.2,-63.6
40,-15.5,-11.0,-64.2
45,-18.9,-12.6,-64.4
50,-22.5,-14.0,-64.2
55,-26.0,-15.2,-63.7
60,-29.7,-16.2,-63.2
65,-33.6,-17.0,-62.5
70,-37.4,-17.6,-61.8
75,-41.4,-18.0,-60.8
80,-45.4,-18.2,-59.9
85,-49.2,-18.2,-58.9
90,-53.1,-17.9,-58.1
95,-56.9,-17.2,-58.6
100,-60.6,-16.2,-57.9
105,-64.1,-15.0,-57.3
110,-67.7,-13.4,-57.0
115,-71.1,-11.5,-57.1
120,-74.3,-8.8,-57.5
