HT_Elev,Elevation,PoE,Axial
15,-2.8,5.4,-35.0
20,-6.6,5.4,-43.2
25,-10.8,5.7,-47.1
30,-14.1,5.9,-49.8
35,-17.6,6,-51.7
40,-20.8,6,-53.3
45,-24.1,6.1,-54.7
50,-27.4,6.1,-55.6
55,-30.8,6.1,-56.3
60,-34.3,6.2,-57.0
65,-37.8,6.1,-57.6
70,-41.2,6.1,-58.2
75,-44.9,5.9,-58.7
80,-48.6,5.8,-59.2
85,-52.3,5.8,-59.7
90,-56.0,5.6,-60.1
95,-59.8,5.5,-60.5
100,-63.5,5.2,-60.8
105,-66.9,4.9,-61.0
110,-70.3,4.9,-61.2
115,-73.8,5,-61.3
120,-76.8,4.7,-62.0
