HT_Elev,ReProtraction,LatMedRot,Tilt
15,42.8,-11.7,-12.2
20,43.2,-12.6,-11.9
25,43.8,-13.8,-11.2
30,44.3,-15.1,-10.4
35,44.8,-16.6,-9.6
40,45.2,-18.1,-8.7
45,45.6,-19.6,-8.0
50,46.1,-21.3,-7.2
55,46.5,-22.9,-6.5
60,46.7,-24.4,-5.7
65,47,-25.9,-5.0
70,47.2,-27.3,-4.3
75,47.4,-28.7,-3.6
80,47.5,-30.1,-2.8
85,47.7,-31.4,-2.1
90,47.8,-32.9,-1.4
95,47.9,-34.3,-0.6
100,47.7,-35.9,0.2
105,47.4,-37.4,1.1
110,46.8,-39.1,2.1
115,45.2,-41.0,4
120,43.5,-43.3,5.4
