HT_Elev,ReProtraction,LatMedRot,Tilt
15,37,-10.3,-13.0
20,38.1,-11.9,-12.7
25,38.3,-13.6,-11.8
30,38.5,-15.5,-11.2
35,38.6,-17.3,-10.5
40,38.7,-19.1,-9.8
45,38.7,-20.9,-9.0
50,38.7,-22.7,-8.3
55,38.7,-24.3,-7.5
60,38.8,-26.0,-6.8
65,38.8,-27.5,-6.1
70,38.9,-29.0,-5.5
75,38.9,-30.5,-4.9
80,39,-31.8,-4.2
85,39,-33.1,-3.6
90,39,-34.4,-2.8
95,39.1,-35.7,-2.2
100,39.1,-37.1,-1.5
105,39.1,-38.6,-0.7
110,38.9,-40.1,0.2
115,38.6,-41.6,1.3
120,37.2,-43.5,2.7
